what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397225726990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397225728396
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397225749899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397225751510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397225770254
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1397225804191
activated,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1397225838956
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1397225854738
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1397225855700
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1397225871956
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1397225872100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397225961049
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226029565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226035534
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226042495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226059531
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1397226181614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226201368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226210853
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226252324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226258552
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397226293135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397226307372
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226320422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226347334
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397226376500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226377498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226391237
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226397344
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226405844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397226414954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397226417699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397226420214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226421603
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226437429
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397226445275
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226446094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226468396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226469827
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226484042
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226487511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1397226522116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1397226550729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397226576362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397226579773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1397226620529
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1397226629668
